  THREADS     L     V     W+1   TIME(us)   MEMORY(GB)  STORAGE(MB) CORRECT
        1    42    14    28      12972        2.000     1575.775     yes
       16    42    13    29       2295        3.900     3149.488     yes
        8    42    13    29       2330        3.900     3149.488     yes
        4    42    13    29       2699        3.900     3149.488     yes
        2    42    13    29       4064        3.900     3149.488     yes
        1    42    13    29       6896        3.900     3149.488     yes
       16    42    12    30       1354        7.800     6297.944     yes
        8    42    12    30       1191        7.800     6297.944     yes
        4    42    12    30       1492        7.800     6297.944     yes
        2    42    12    30       2147        7.800     6297.944     yes
        1    42    12    30       3853        7.800     6297.944     yes
       16    42    11    31        713       15.600    12595.372     yes
        8    42    11    31        752       15.600    12595.372     yes
        4    42    11    31        829       15.600    12595.372     yes
        2    42    11    31       1131       15.600    12595.372     yes
        1    42    11    31       2044       15.600    12595.372     yes
       16    43    16    27      15977        1.000      792.700     yes
        8    43    16    27      17719        1.000      792.700     yes
        4    43    16    27      21631        1.000      792.700     yes
        2    43    16    27      29376        1.000      792.700     yes
        1    43    16    27      48369        1.000      792.700     yes
       16    43    15    28       8617        2.000     1577.150     yes
        8    43    15    28       9546        2.000     1577.150     yes
        4    43    15    28      11610        2.000     1577.150     yes
        2    43    15    28      16066        2.000     1577.150     yes
        1    43    15    28      26573        2.000     1577.150     yes
       16    43    14    29       6585        3.900     3150.175     yes
        8    43    14    29       4870        3.900     3150.175     yes
        4    43    14    29       6004        3.900     3150.175     yes
        2    43    14    29       8807        3.900     3150.175     yes
        1    43    14    29      14385        3.900     3150.175     yes
       16    43    13    30       2362        7.800     6298.288     yes
        8    43    13    30       2674        7.800     6298.288     yes
        4    43    13    30       3669        7.800     6298.288     yes
        2    43    13    30       4892        7.800     6298.288     yes
        1    43    13    30       8106        7.800     6298.288     yes
       16    43    12    31       1095       15.600    12595.544     yes
        8    43    12    31       1323       15.600    12595.544     yes
        4    43    12    31       1669       15.600    12595.544     yes
        2    43    12    31       2390       15.600    12595.544     yes
        1    43    12    31       3676       15.600    12595.544     yes
       16    44    17    27      30454        1.000      798.200     yes
        8    44    17    27      34091        1.000      798.200     yes
        4    44    17    27      41689        1.000      798.200     yes
        2    44    17    27      57987        1.000      798.200     yes
        1    44    17    27      91701        1.000      798.200     yes
       16    44    16    28      16112        2.000     1579.900     yes
        8    44    16    28      17572        2.000     1579.900     yes
        4    44    16    28      21755        2.000     1579.900     yes
        2    44    16    28      30626        2.000     1579.900     yes
        1    44    16    28      51506        2.000     1579.900     yes
       16    44    15    29       8300        3.900     3151.550     yes
        8    44    15    29       9175        3.900     3151.550     yes
        4    44    15    29      11492        3.900     3151.550     yes
        2    44    15    29      17385        3.900     3151.550     yes
        1    44    15    29      27799        3.900     3151.550     yes
       16    44    14    30       5106        7.800     6298.975     yes
        8    44    14    30       5131        7.800     6298.975     yes
        4    44    14    30       6067        7.800     6298.975     yes
        2    44    14    30       9027        7.800     6298.975     yes
        1    44    14    30      13622        7.800     6298.975     yes
       16    44    13    31       3489       15.600    12595.888     yes
        8    44    13    31       2545       15.600    12595.888     yes
        4    44    13    31       3347       15.600    12595.888     yes
        2    44    13    31       4744       15.600    12595.888     yes
        1    44    13    31       7376       15.600    12595.888     yes
       16    45    18    27      61273        1.100      809.200     yes
        8    45    18    27      65803        1.100      809.200     yes
        4    45    18    27      81344        1.100      809.200     yes
        2    45    18    27     113359        1.100      809.200     yes
        1    45    18    27     187257        1.100      809.200     yes
       16    45    17    28      31268        2.000     1585.400     yes
        8    45    17    28      34633        2.000     1585.400     yes
        4    45    17    28      43871        2.000     1585.400     yes
        2    45    17    28      62757        2.000     1585.400     yes
        1    45    17    28     105613        2.000     1585.400     yes
       16    45    16    29      16522        3.900     3154.300     yes
        8    45    16    29      18521        3.900     3154.300     yes
        4    45    16    29      23663        3.900     3154.300     yes
        2    45    16    29      34553        3.900     3154.300     yes
        1    45    16    29      57184        3.900     3154.300     yes
       16    45    15    30       9380        7.800     6300.350     yes
        8    45    15    30       9576        7.800     6300.350     yes
        4    45    15    30      12252        7.800     6300.350     yes
        2    45    15    30      18347        7.800     6300.350     yes
        1    45    15    30      29534        7.800     6300.350     yes
       16    45    14    31       4817       15.600    12596.575     yes
        8    45    14    31       5113       15.600    12596.575     yes
        4    45    14    31       6392       15.600    12596.575     yes
        2    45    14    31       8974       15.600    12596.575     yes
        1    45    14    31      16014       15.600    12596.575     yes
       16    46    19    27     118834        1.100      831.200     yes
        8    46    19    27     128278        1.100      831.200     yes
        4    46    19    27     155700        1.100      831.200     yes
        2    46    19    27     220325        1.100      831.200     yes
        1    46    19    27     350123        1.100      831.200     yes
       16    46    18    28      61603        2.000     1596.400     yes
        8    46    18    28      66164        2.000     1596.400     yes
        4    46    18    28      82961        2.000     1596.400     yes
        2    46    18    28     120236        2.000     1596.400     yes
        1    46    18    28     197770        2.000     1596.400     yes
       16    46    17    29      31556        3.900     3159.800     yes
        8    46    17    29      33813        3.900     3159.800     yes
        4    46    17    29      43436        3.900     3159.800     yes
        2    46    17    29      63725        3.900     3159.800     yes
        1    46    17    29     107174        3.900     3159.800     yes
       16    46    16    30      15861        7.800     6303.100     yes
        8    46    16    30      18282        7.800     6303.100     yes
        4    46    16    30      23244        7.800     6303.100     yes
        2    46    16    30      33557        7.800     6303.100     yes
        1    46    16    30      54941        7.800     6303.100     yes
       16    46    15    31       8887       15.600    12597.950     yes
        8    46    15    31       9736       15.600    12597.950     yes
        4    46    15    31      12885       15.600    12597.950     yes
        2    46    15    31      17734       15.600    12597.950     yes
        1    46    15    31      29605       15.600    12597.950     yes
       16    47    20    27     223559        1.300      875.200     yes
        8    47    20    27     253220        1.300      875.200     yes
        4    47    20    27     307452        1.300      875.200     yes
        2    47    20    27     434009        1.300      875.200     yes
        1    47    20    27     703186        1.300      875.200     yes
       16    47    19    28     118087        2.100     1618.400     yes
        8    47    19    28     130432        2.100     1618.400     yes
        4    47    19    28     161966        2.100     1618.400     yes
        2    47    19    28     232502        2.100     1618.400     yes
        1    47    19    28     389254        2.100     1618.400     yes
       16    47    18    29      64465        4.000     3170.800     yes
        8    47    18    29      70786        4.000     3170.800     yes
        4    47    18    29      88216        4.000     3170.800     yes
        2    47    18    29     128599        4.000     3170.800     yes
        1    47    18    29     215518        4.000     3170.800     yes
       16    47    17    30      33400        7.800     6308.600     yes
        8    47    17    30      37163        7.800     6308.600     yes
        4    47    17    30      47954        7.800     6308.600     yes
        2    47    17    30      71523        7.800     6308.600     yes
        1    47    17    30     119749        7.800     6308.600     yes
       16    47    16    31      16758       15.600    12600.700     yes
        8    47    16    31      19565       15.600    12600.700     yes
        4    47    16    31      24342       15.600    12600.700     yes
        2    47    16    31      35620       15.600    12600.700     yes
        1    47    16    31      60003       15.600    12600.700     yes
       16    48    21    27     445793        1.600      963.200     yes
        8    48    21    27     504437        1.600      963.200     yes
        4    48    21    27     619065        1.600      963.200     yes
        2    48    21    27     880992        1.600      963.200     yes
        1    48    21    27    1423261        1.600      963.200     yes
       16    48    20    28     225687        2.200     1662.400     yes
        8    48    20    28     259988        2.200     1662.400     yes
        4    48    20    28     324253        2.200     1662.400     yes
        2    48    20    28     472029        2.200     1662.400     yes
        1    48    20    28     796193        2.200     1662.400     yes
       16    48    19    29     119573        4.000     3192.800     yes
        8    48    19    29     135616        4.100     3192.800     yes
        4    48    19    29     169762        4.100     3192.800     yes
        2    48    19    29     247170        4.100     3192.800     yes
        1    48    19    29     415625        4.100     3192.800     yes
       16    48    18    30      65117        7.900     6319.600     yes
        8    48    18    30      72490        7.900     6319.600     yes
        4    48    18    30      92273        7.900     6319.600     yes
        2    48    18    30     135846        7.900     6319.600     yes
        1    48    18    30     218434        7.900     6319.600     yes
       16    48    17    31      34167       15.600    12606.200     yes
        8    48    17    31      38091       15.600    12606.200     yes
        4    48    17    31      47821       15.600    12606.200     yes
        2    48    17    31      71109       15.600    12606.200     yes
        1    48    17    31     117003       15.600    12606.200     yes
       16    49    22    27     884464        2.100     1139.200     yes
        8    49    22    27     985895        2.100     1139.200     yes
        4    49    22    27    1217905        2.200     1139.200     yes
        2    49    22    27    1727003        2.200     1139.200     yes
        1    49    22    27    2863190        2.200     1139.200     yes
       16    49    21    28     448655        2.500     1750.400     yes
        8    49    21    28     506746        2.500     1750.400     yes
        4    49    21    28     642077        2.500     1750.400     yes
        2    49    21    28     949870        2.500     1750.400     yes
        1    49    21    28    1651883        2.500     1750.400     yes
       16    49    20    29     232584        4.200     3236.800     yes
        8    49    20    29     270508        4.200     3236.800     yes
        4    49    20    29     349945        4.200     3236.800     yes
        2    49    20    29     523885        4.200     3236.800     yes
        1    49    20    29     902851        4.200     3236.800     yes
       16    49    19    30     130180        7.900     6341.600     yes
        8    49    19    30     152943        8.000     6341.600     yes
        4    49    19    30     197587        8.000     6341.600     yes
        2    49    19    30     301342        8.000     6341.600     yes
        1    49    19    30     486403        8.000     6341.600     yes
       16    49    18    31      68276       15.700    12617.200     yes
        8    49    18    31      81110       15.700    12617.200     yes
        4    49    18    31     100266       15.700    12617.200     yes
        2    49    18    31     144903       15.700    12617.200     yes
        1    49    18    31     244835       15.700    12617.200     yes
       16    50    23    27    1779983        3.300     1491.200     yes
        8    50    23    27    1974550        3.300     1491.200     yes
        4    50    23    27    2470534        3.300     1491.200     yes
        2    50    23    27    3580080        3.300     1491.200     yes
        1    50    23    27    5945874        3.300     1491.200     yes
       16    50    22    28     904020        3.100     1926.400     yes
        8    50    22    28    1033257        3.100     1926.400     yes
        4    50    22    28    1282363        3.100     1926.400     yes
        2    50    22    28    1918379        3.100     1926.400     yes
        1    50    22    28    3329486        3.100     1926.400     yes
       16    50    21    29     460706        4.500     3324.800     yes
        8    50    21    29     522232        4.500     3324.800     yes
        4    50    21    29     678897        4.500     3324.800     yes
        2    50    21    29    1014931        4.500     3324.800     yes
        1    50    21    29    1763400        4.500     3324.800     yes
       16    50    20    30     240203        8.100     6385.600     yes
        8    50    20    30     283269        8.100     6385.600     yes
        4    50    20    30     358947        8.100     6385.600     yes
        2    50    20    30     533504        8.100     6385.600     yes
        1    50    20    30     900142        8.100     6385.600     yes
       16    50    19    31     127857       15.700    12639.200     yes
        8    50    19    31     149693       15.800    12639.200     yes
        4    50    19    31     190652       15.800    12639.200     yes
        2    50    19    31     283600       15.800    12639.200     yes
        1    50    19    31     474726       15.800    12639.200     yes
       16    51    24    27    3494328        5.700     2195.200     yes
        8    51    24    27    3894196        5.700     2195.200     yes
        4    51    24    27    4882997        5.700     2195.200     yes
        2    51    24    27    7033459        5.700     2195.200     yes
        1    51    24    27   11716427        5.700     2195.200     yes
       16    51    23    28    1793158        4.300     2278.400     yes
        8    51    23    28    2014165        4.300     2278.400     yes
        4    51    23    28    2591513        4.300     2278.400     yes
        2    51    23    28    3888524        4.300     2278.400     yes
        1    51    23    28    6789931        4.300     2278.400     yes
       16    51    22    29     928174        5.100     3500.800     yes
        8    51    22    29    1102322        5.100     3500.800     yes
        4    51    22    29    1440598        5.100     3500.800     yes
        2    51    22    29    2172120        5.100     3500.800     yes
        1    51    22    29    3834945        5.100     3500.800     yes
       16    51    21    30     514398        8.400     6473.600     yes
        8    51    21    30     589207        8.400     6473.600     yes
        4    51    21    30     771827        8.400     6473.600     yes
        2    51    21    30    1156429        8.400     6473.600     yes
        1    51    21    30    1989918        8.400     6473.600     yes
       16    51    20    31     254301       15.900    12683.200     yes
        8    51    20    31     294838       15.900    12683.200     yes
        4    51    20    31     397124       15.900    12683.200     yes
        2    51    20    31     584870       15.900    12683.200     yes
        1    51    20    31    1005181       15.900    12683.200     yes

       16    52    25    27    6925714       10.400     3603.200     yes
        8    52    25    27    7701263       10.400     3603.200     yes
        4    52    25    27    9558037       10.400     3603.200     yes
        2    52    25    27   13768253       10.400     3603.200     yes
        1    52    25    27   22565459       10.400     3603.200     yes
       16    52    24    28    3547094        6.600     2982.400     yes
        8    52    24    28    3969411        6.600     2982.400     yes
        4    52    24    28    5032454        6.600     2982.400     yes
        2    52    24    28    7521346        6.600     2982.400     yes
        1    52    24    28   12999739        6.600     2982.400     yes
